state;account_length;area_code;international_plan;voice_mail_plan;number_vmail_messages;total_day_minutes;total_day_calls;total_day_charge;total_eve_minutes;total_eve_calls;total_eve_charge;total_night_minutes;total_night_calls;total_night_charge;total_intl_minutes;total_intl_calls;total_intl_charge;number_customer_service_calls;churn
NH;75;area_code_510;no;no;0;226,1;105;38,4;201,5;107;17,1;246,2;98;11,1;10,3;5;2,8;1;no
AZ;12;area_code_408;no;no;0;249,6;118;42,4;252,4;119;21,5;280,2;90;12,6;11,8;3;3,2;1;yes
OK;57;area_code_408;no;yes;25;176,8;94;30,1;195,0;75;16,6;213,5;116;9,6;8,3;4;2,2;0;no
AK;36;area_code_408;no;yes;30;146,3;128;24,9;162,5;80;13,8;129,3;109;5,8;14,5;6;3,9;0;no
MA;78;area_code_415;no;no;0;130,8;64;22,2;223,7;116;19,0;227,8;108;10,3;10,0;5;2,7;1;no
AK;136;area_code_415;yes;yes;33;203,9;106;34,7;187,6;99;16,0;101,7;107;4,6;10,5;6;2,8;3;no
GA;98;area_code_408;no;no;0;126,3;102;21,5;166,8;85;14,2;187,8;135;8,5;9,4;2;2,5;3;no
MD;135;area_code_408;yes;yes;41;173,1;85;29,4;203,9;107;17,3;122,2;78;5,5;14,6;15;3,9;0;yes
AR;34;area_code_510;no;no;0;124,8;82;21,2;282,2;98;24,0;311,5;78;14,0;10,0;4;2,7;2;no
ID;160;area_code_415;no;no;0;85,8;77;14,6;165,3;110;14,1;178,5;92;8,0;9,2;4;2,5;3;no
WI;64;area_code_510;no;no;0;154,0;67;26,2;225,8;118;19,2;265,3;86;11,9;3,5;3;1,0;1;no
OR;59;area_code_408;no;yes;28;120,9;97;20,6;213,0;92;18,1;163,1;116;7,3;8,5;5;2,3;2;no
MI;65;area_code_415;no;no;0;211,3;120;35,9;162,6;122;13,8;134,7;118;6,1;13,2;5;3,6;3;no
DE;142;area_code_408;no;no;0;187,0;133;31,8;134,6;74;11,4;242,2;127;10,9;7,4;5;2,0;2;no
WY;97;area_code_415;no;yes;24;133,2;135;22,6;217,2;58;18,5;70,6;79;3,2;11,0;3;3,0;1;no
IA;52;area_code_408;no;no;0;191,9;108;32,6;269,8;96;22,9;236,8;87;10,7;7,8;5;2,1;3;no
IN;60;area_code_408;no;no;0;220,6;57;37,5;211,1;115;17,9;249,0;129;11,2;6,8;3;1,8;1;no
VA;10;area_code_408;no;no;0;186,1;112;31,6;190,2;66;16,2;282,8;57;12,7;11,4;6;3,1;2;no
UT;96;area_code_415;no;no;0;160,2;117;27,2;267,5;67;22,7;228,5;68;10,3;9,3;5;2,5;2;no
IN;81;area_code_408;no;no;0;175,5;67;29,8;249,3;85;21,2;270,2;98;12,2;10,2;3;2,8;1;no
CO;141;area_code_415;no;no;0;126,9;98;21,6;180,0;62;15,3;140,8;128;6,3;8,0;2;2,2;1;no
CO;121;area_code_408;no;yes;30;198,4;129;33,7;75,3;77;6,4;181,2;77;8,2;5,8;3;1,6;3;yes
OK;125;area_code_408;no;no;0;229,3;103;39,0;177,4;126;15,1;189,3;95;8,5;12,0;8;3,2;1;no
ID;174;area_code_408;no;no;0;192,1;97;32,7;169,9;94;14,4;166,6;54;7,5;11,4;4;3,1;1;no
CA;116;area_code_415;no;yes;34;268,6;83;45,7;178,2;142;15,2;166,3;106;7,5;11,6;3;3,1;2;no
SD;149;area_code_408;no;yes;28;180,7;92;30,7;187,8;64;16,0;265,5;53;12,0;12,6;3;3,4;3;no
NC;38;area_code_408;no;no;0;131,2;98;22,3;162,9;97;13,9;159,0;106;7,2;8,2;6;2,2;2;no
WA;40;area_code_415;no;yes;41;148,1;74;25,2;169,5;88;14,4;214,1;102;9,6;6,2;5;1,7;2;no
WY;43;area_code_415;yes;no;0;251,5;105;42,8;212,8;104;18,1;157,8;67;7,1;9,3;4;2,5;0;no
MN;113;area_code_408;yes;no;0;125,2;93;21,3;206,4;119;17,5;129,3;139;5,8;8,3;8;2,2;0;no
UT;126;area_code_408;no;no;0;211,6;70;36,0;216,9;80;18,4;153,5;60;6,9;7,8;1;2,1;1;no
TX;150;area_code_510;no;no;0;178,9;101;30,4;169,1;110;14,4;148,6;100;6,7;13,8;3;3,7;4;yes
NJ;138;area_code_408;no;no;0;241,8;93;41,1;170,5;83;14,5;295,3;104;13,3;11,8;7;3,2;3;no
MN;162;area_code_510;no;yes;46;224,9;97;38,2;188,2;84;16,0;254,6;61;11,5;12,1;2;3,3;0;no
NM;147;area_code_510;no;no;0;248,6;83;42,3;148,9;85;12,7;172,5;109;7,8;8,0;4;2,2;3;no
NV;90;area_code_415;no;no;0;203,4;146;34,6;226,7;117;19,3;152,4;105;6,9;7,3;4;2,0;1;no
HI;85;area_code_415;no;no;0;235,8;109;40,1;157,2;94;13,4;188,2;99;8,5;12,0;3;3,2;0;no
MN;50;area_code_415;no;no;0;157,1;90;26,7;223,3;72;19,0;181,4;111;8,2;6,1;2;1,7;1;no
DC;82;area_code_415;no;no;0;300,3;109;51,1;181,0;100;15,4;270,1;73;12,2;11,7;4;3,2;0;yes
NY;144;area_code_408;no;no;0;61,6;117;10,5;77,1;85;6,6;173,0;99;7,8;8,2;7;2,2;4;yes
MN;46;area_code_415;no;no;0;214,1;72;36,4;164,4;104;14,0;177,5;113;8,0;8,2;3;2,2;2;no
MD;70;area_code_408;no;no;0;170,2;98;28,9;155,2;102;13,2;228,6;76;10,3;15,0;2;4,1;1;no
WV;144;area_code_415;no;no;0;201,1;99;34,2;303,5;74;25,8;224,0;119;10,1;13,2;2;3,6;1;no
OR;116;area_code_415;yes;no;0;215,4;104;36,6;204,8;79;17,4;278,5;109;12,5;12,6;5;3,4;3;no
GA;70;area_code_415;no;yes;24;249,5;101;42,4;259,7;98;22,1;222,7;68;10,0;9,8;4;2,7;1;no
VT;128;area_code_510;no;yes;29;179,3;104;30,5;225,9;86;19,2;323,0;78;14,5;8,6;7;2,3;0;no
IN;94;area_code_408;no;no;0;157,9;105;26,8;155,0;101;13,2;189,6;84;8,5;8,0;5;2,2;4;yes
WV;111;area_code_510;no;no;0;214,3;118;36,4;208,5;76;17,7;182,4;98;8,2;12,0;2;3,2;1;no
KY;74;area_code_415;no;yes;35;154,1;104;26,2;123,4;84;10,5;202,1;57;9,1;10,9;9;2,9;2;no
NJ;128;area_code_415;no;no;0;237,9;125;40,4;247,6;93;21,1;208,9;68;9,4;13,9;4;3,8;1;yes
DC;82;area_code_510;no;no;0;143,9;61;24,5;194,9;105;16,6;109,6;94;4,9;11,1;2;3,0;1;no
LA;155;area_code_415;no;no;0;203,4;100;34,6;190,9;104;16,2;196,0;119;8,8;8,9;4;2,4;0;yes
AR;80;area_code_415;no;no;0;124,3;100;21,1;173,0;107;14,7;253,2;62;11,4;7,9;9;2,1;1;no
ME;78;area_code_415;no;no;0;252,9;93;43,0;178,4;112;15,2;263,9;105;11,9;9,5;7;2,6;3;no
AZ;90;area_code_415;no;no;0;179,1;71;30,5;190,6;81;16,2;127,7;91;5,8;10,6;7;2,9;3;no
MT;73;area_code_415;no;no;0;160,1;110;27,2;213,3;72;18,1;174,1;72;7,8;13,0;4;3,5;0;no
AZ;99;area_code_415;no;no;0;198,2;87;33,7;207,3;76;17,6;190,9;113;8,6;8,7;3;2,4;4;no
MS;120;area_code_408;no;no;0;212,1;131;36,1;209,4;104;17,8;167,2;96;7,5;5,3;5;1,4;1;yes
ID;77;area_code_415;no;no;0;251,8;72;42,8;205,7;126;17,5;275,2;109;12,4;9,8;7;2,7;2;yes
IA;98;area_code_510;no;yes;21;161,2;114;27,4;252,2;83;21,4;160,2;92;7,2;4,4;8;1,2;4;no
MA;108;area_code_415;no;no;0;178,3;137;30,3;189,0;76;16,1;129,1;102;5,8;14,6;5;3,9;0;no
KY;95;area_code_408;no;no;0;135,0;99;23,0;183,6;106;15,6;245,3;102;11,0;12,5;9;3,4;1;no
IN;122;area_code_408;no;no;0;170,5;94;29,0;173,7;109;14,8;248,6;75;11,2;11,3;2;3,1;1;no
AZ;95;area_code_408;no;no;0;238,1;65;40,5;187,2;98;15,9;190,0;115;8,6;11,8;4;3,2;4;no
MI;36;area_code_510;no;yes;29;281,4;102;47,8;202,2;76;17,2;187,2;113;8,4;9,0;6;2,4;2;no
NM;93;area_code_510;no;yes;21;117,9;131;20,0;164,5;115;14,0;217,0;86;9,8;9,8;3;2,7;1;no
UT;157;area_code_408;no;no;0;229,8;90;39,1;147,9;121;12,6;241,4;108;10,9;9,6;7;2,6;3;no
MI;120;area_code_408;no;no;0;165,0;100;28,1;317,2;83;27,0;119,2;86;5,4;8,3;8;2,2;1;no
AL;98;area_code_408;no;no;0;161,0;117;27,4;190,9;113;16,2;227,7;113;10,3;12,1;4;3,3;4;no
DE;125;area_code_408;no;no;0;126,7;108;21,5;206,0;90;17,5;247,8;114;11,2;13,3;7;3,6;1;no
AZ;63;area_code_415;no;no;0;58,9;125;10,0;169,6;59;14,4;211,4;88;9,5;9,4;3;2,5;1;no
ME;36;area_code_510;yes;yes;42;196,8;89;33,5;254,9;122;21,7;138,3;126;6,2;20,0;6;5,4;0;yes
NJ;64;area_code_510;no;no;0;162,6;83;27,6;152,3;109;13,0;57,5;122;2,6;14,2;3;3,8;1;no
NV;74;area_code_415;no;no;0;282,5;114;48,0;219,9;48;18,7;170,0;115;7,7;9,4;4;2,5;1;yes
NE;46;area_code_408;no;no;0;210,2;92;35,7;227,3;77;19,3;200,1;116;9,0;13,1;7;3,5;1;no
TX;41;area_code_408;no;yes;22;213,8;102;36,4;141,8;86;12,1;142,2;123;6,4;7,2;3;1,9;0;no
MD;121;area_code_510;no;no;0;190,7;103;32,4;183,5;117;15,6;220,8;103;9,9;9,8;4;2,7;3;no
MS;193;area_code_415;no;no;0;170,9;124;29,1;132,3;95;11,3;112,9;89;5,1;11,6;3;3,1;1;no
NV;130;area_code_510;no;no;0;154,2;119;26,2;110,2;98;9,4;227,4;117;10,2;9,2;5;2,5;2;no
AZ;85;area_code_408;no;no;0;201,4;52;34,2;229,4;104;19,5;252,5;106;11,4;12,0;3;3,2;1;no
MS;162;area_code_415;no;no;0;70,7;108;12,0;157,5;87;13,4;154,8;82;7,0;9,1;3;2,5;4;yes
MS;61;area_code_510;no;yes;27;187,5;124;31,9;146,6;103;12,5;225,7;129;10,2;6,4;6;1,7;4;yes
TX;92;area_code_408;no;no;0;91,7;90;15,6;193,7;123;16,5;175,0;86;7,9;9,2;4;2,5;2;no
NE;90;area_code_415;no;no;0;145,5;92;24,7;217,7;114;18,5;146,9;123;6,6;10,9;2;2,9;3;no
CA;75;area_code_408;no;no;0;166,3;125;28,3;158,2;86;13,5;256,7;80;11,6;6,1;5;1,7;1;no
NJ;78;area_code_415;no;no;0;231,0;115;39,3;230,4;140;19,6;261,4;120;11,8;9,5;3;2,6;1;no
TX;82;area_code_408;no;no;0;200,3;96;34,1;201,2;102;17,1;206,1;60;9,3;7,1;1;1,9;4;no
AR;163;area_code_408;no;no;0;197,0;109;33,5;202,6;128;17,2;206,4;80;9,3;9,1;10;2,5;1;no
AL;91;area_code_510;yes;no;0;129,9;112;22,1;173,3;83;14,7;247,2;130;11,1;11,2;3;3,0;3;no
AK;127;area_code_510;no;yes;36;183,2;117;31,1;126,8;76;10,8;263,3;71;11,9;11,2;8;3,0;1;no
NV;113;area_code_415;no;yes;23;205,0;101;34,9;152,0;60;12,9;158,6;59;7,1;10,2;5;2,8;2;no
DE;110;area_code_510;no;no;0;148,5;115;25,3;276,4;84;23,5;193,6;112;8,7;12,4;3;3,4;1;no
MD;120;area_code_415;no;yes;39;200,3;68;34,1;220,4;97;18,7;253,8;116;11,4;10,5;4;2,8;0;no
MI;157;area_code_415;no;yes;28;192,6;107;32,7;195,5;74;16,6;109,7;139;4,9;6,8;5;1,8;3;no
VT;103;area_code_510;no;no;0;246,5;47;41,9;195,5;84;16,6;200,5;96;9,0;11,7;4;3,2;1;no
VT;117;area_code_408;yes;no;0;167,1;86;28,4;177,5;87;15,1;249,4;132;11,2;14,1;7;3,8;2;yes
LA;121;area_code_408;no;no;0;181,5;121;30,9;218,4;98;18,6;161,6;103;7,3;8,5;5;2,3;1;no
RI;145;area_code_408;no;yes;43;257,7;97;43,8;162,1;95;13,8;286,9;86;12,9;11,1;4;3,0;2;no
IA;113;area_code_408;no;no;0;193,8;99;33,0;221,4;125;18,8;172,3;67;7,8;10,6;6;2,9;1;no
NE;117;area_code_415;no;no;0;102,8;119;17,5;206,7;91;17,6;299,0;105;13,5;10,1;7;2,7;1;no
OH;65;area_code_408;no;no;0;187,9;116;31,9;157,6;117;13,4;227,3;86;10,2;7,5;6;2,0;1;no
RI;56;area_code_415;no;no;0;226,0;112;38,4;248,5;118;21,1;140,5;142;6,3;6,9;11;1,9;1;no
OK;96;area_code_415;no;no;0;260,4;115;44,3;146,0;46;12,4;269,5;87;12,1;11,5;4;3,1;5;no
LA;151;area_code_408;no;no;0;178,7;116;30,4;292,1;138;24,8;265,9;101;12,0;9,8;4;2,7;0;no
OH;83;area_code_415;no;no;0;337,4;120;57,4;227,4;116;19,3;153,9;114;6,9;15,8;7;4,3;0;yes
VA;139;area_code_510;no;yes;23;157,6;129;26,8;247,0;96;21,0;259,2;112;11,7;13,7;2;3,7;0;no
MO;6;area_code_510;no;no;0;183,6;117;31,2;256,7;72;21,8;178,6;79;8,0;10,2;2;2,8;1;no
FL;115;area_code_510;no;yes;24;142,1;124;24,2;183,4;129;15,6;164,8;114;7,4;9,6;4;2,6;1;no
VA;141;area_code_415;no;no;0;217,1;110;36,9;241,5;111;20,5;253,5;103;11,4;12,0;6;3,2;0;no
MI;62;area_code_415;no;no;0;98,9;103;16,8;135,4;122;11,5;236,6;82;10,7;12,2;1;3,3;1;no
GA;185;area_code_510;no;yes;31;189,8;126;32,3;163,3;133;13,9;264,8;126;11,9;7,5;3;2,0;1;no
DC;148;area_code_415;no;no;0;202,0;102;34,3;243,2;128;20,7;261,3;90;11,8;10,9;3;2,9;1;no
AZ;94;area_code_408;no;yes;38;170,1;124;28,9;193,3;116;16,4;105,9;73;4,8;12,8;4;3,5;1;no
AL;32;area_code_510;no;no;0;230,9;87;39,3;187,4;90;15,9;154,0;53;6,9;6,3;2;1,7;0;no
CO;68;area_code_408;no;no;0;237,1;105;40,3;223,5;105;19,0;97,4;79;4,4;13,2;2;3,6;1;no
NM;25;area_code_415;no;no;0;119,3;87;20,3;211,5;101;18,0;268,9;86;12,1;10,5;4;2,8;3;no
OR;65;area_code_415;no;no;0;116,8;87;19,9;178,9;93;15,2;182,4;150;8,2;14,1;2;3,8;1;no
LA;179;area_code_408;no;no;0;219,2;92;37,3;149,4;125;12,7;244,7;104;11,0;6,1;5;1,7;0;no
NE;94;area_code_415;no;no;0;252,6;104;42,9;169,0;125;14,4;170,9;106;7,7;11,1;7;3,0;2;no
MN;62;area_code_415;no;no;0;147,1;91;25,0;190,4;107;16,2;195,2;115;8,8;12,2;3;3,3;0;no
AR;116;area_code_408;no;no;0;173,5;93;29,5;194,1;76;16,5;208,0;112;9,4;16,2;10;4,4;3;no
KS;70;area_code_408;no;no;0;232,1;122;39,5;292,3;112;24,9;201,2;112;9,1;0,0;0;0,0;3;no
WV;94;area_code_510;yes;yes;23;197,1;125;33,5;214,5;136;18,2;282,2;103;12,7;9,5;5;2,6;4;no
AK;126;area_code_415;no;no;0;58,2;94;9,9;138,7;118;11,8;136,8;91;6,2;11,9;1;3,2;5;yes
NY;67;area_code_408;no;yes;36;115,6;111;19,7;237,7;94;20,2;169,9;103;7,7;9,9;12;2,7;2;no
NH;19;area_code_408;no;no;0;186,1;98;31,6;254,3;57;21,6;214,0;127;9,6;14,6;7;3,9;2;no
VA;170;area_code_510;yes;no;0;259,9;68;44,2;245,0;122;20,8;134,4;121;6,1;8,4;3;2,3;3;no
NM;73;area_code_415;no;no;0;214,3;145;36,4;268,5;135;22,8;241,2;92;10,9;10,8;13;2,9;1;no
NY;106;area_code_408;no;no;0;158,7;74;27,0;64,3;139;5,5;198,5;103;8,9;10,2;4;2,8;1;no
AZ;93;area_code_415;no;no;0;271,6;71;46,2;229,4;108;19,5;77,3;121;3,5;10,9;3;2,9;2;no
WA;51;area_code_408;no;no;0;232,4;109;39,5;187,4;95;15,9;231,2;107;10,4;9,1;3;2,5;1;no
TX;130;area_code_415;no;no;0;176,9;109;30,1;90,7;104;7,7;238,0;69;10,7;9,5;2;2,6;1;no
KY;80;area_code_408;no;no;0;209,9;74;35,7;195,1;77;16,6;208,2;119;9,4;8,8;4;2,4;2;no
MT;94;area_code_415;no;no;0;137,5;118;23,4;203,2;88;17,3;150,0;131;6,8;13,4;2;3,6;0;no
OK;118;area_code_408;no;yes;23;289,5;52;49,2;166,6;111;14,2;119,1;88;5,4;9,5;4;2,6;1;no
MD;117;area_code_415;no;yes;23;198,1;86;33,7;177,0;86;15,1;180,5;92;8,1;6,8;6;1,8;1;no
TN;78;area_code_415;no;no;0;149,7;119;25,5;182,2;115;15,5;261,5;126;11,8;9,7;8;2,6;0;no
TX;208;area_code_510;no;no;0;326,5;67;55,5;176,3;113;15,0;181,7;102;8,2;10,7;6;2,9;2;yes
ME;131;area_code_510;yes;yes;26;292,9;101;49,8;199,7;97;17,0;255,3;127;11,5;13,8;7;3,7;4;yes
DC;63;area_code_408;no;no;0;83,0;64;14,1;177,0;106;15,1;245,7;89;11,1;13,0;3;3,5;0;no
MN;53;area_code_415;no;yes;24;145,7;146;24,8;220,5;136;18,7;249,9;96;11,3;13,1;5;3,5;3;no
DE;62;area_code_408;no;no;0;182,3;101;31,0;328,2;93;27,9;245,0;131;11,0;11,2;1;3,0;2;no
MD;97;area_code_415;no;no;0;218,0;86;37,1;184,0;94;15,6;240,5;110;10,8;6,4;8;1,7;3;no
MI;105;area_code_510;no;no;0;140,6;109;23,9;178,6;51;15,2;217,0;83;9,8;6,8;3;1,8;2;no
WA;157;area_code_415;no;no;0;152,7;105;26,0;257,5;80;21,9;198,1;93;8,9;9,4;4;2,5;1;no
MO;66;area_code_415;no;yes;36;106,7;76;18,1;209,8;77;17,8;190,4;117;8,6;12,1;2;3,3;1;no
IN;122;area_code_415;no;no;0;243,8;98;41,5;83,9;72;7,1;179,8;84;8,1;13,7;8;3,7;2;no
OR;38;area_code_415;no;no;0;194,4;94;33,1;186,7;95;15,9;223,3;90;10,1;10,8;5;2,9;3;no
MD;106;area_code_510;no;no;0;213,9;95;36,4;151,9;70;12,9;260,1;124;11,7;12,2;5;3,3;3;no
RI;99;area_code_510;no;no;0;217,2;112;36,9;246,7;89;21,0;226,1;89;10,2;15,8;7;4,3;3;no
LA;99;area_code_415;no;no;0;241,1;72;41,0;155,6;98;13,2;188,2;109;8,5;11,6;10;3,1;1;no
AZ;144;area_code_510;yes;no;0;203,5;100;34,6;247,6;103;21,1;194,3;94;8,7;11,9;11;3,2;0;no
LA;93;area_code_415;no;no;0;179,3;93;30,5;178,6;98;15,2;225,2;131;10,1;11,5;6;3,1;3;no
FL;120;area_code_415;no;no;0;180,0;80;30,6;224,2;82;19,1;265,4;91;11,9;4,7;7;1,3;3;no
AL;106;area_code_415;no;no;0;223,0;121;37,9;110,1;98;9,4;188,7;107;8,5;7,1;12;1,9;0;no
WA;81;area_code_415;no;no;0;183,6;116;31,2;152,6;98;13,0;212,2;99;9,6;12,2;6;3,3;3;no
TN;127;area_code_408;no;yes;22;166,0;114;28,2;174,5;103;14,8;244,9;68;11,0;10,2;6;2,8;1;no
MS;65;area_code_415;no;no;0;136,1;112;23,1;272,9;96;23,2;220,2;104;9,9;4,4;2;1,2;1;no
ME;35;area_code_408;no;no;0;149,3;113;25,4;242,2;122;20,6;174,3;104;7,8;8,9;6;2,4;2;no
OK;88;area_code_408;no;no;0;65,4;97;11,1;168,2;76;14,3;236,0;113;10,6;13,8;1;3,7;2;no
IN;65;area_code_415;no;no;0;213,4;111;36,3;234,5;94;19,9;250,1;123;11,3;2,7;4;0,7;1;no
MO;123;area_code_415;no;no;0;206,9;85;35,2;244,7;78;20,8;221,5;136;10,0;7,7;2;2,1;3;no
IA;126;area_code_408;no;yes;27;186,2;78;31,7;189,6;83;16,1;76,5;139;3,4;9,6;3;2,6;2;no
KY;45;area_code_415;no;yes;22;196,6;84;33,4;313,2;92;26,6;163,3;108;7,4;11,9;3;3,2;0;no
MD;93;area_code_408;yes;no;0;312,0;109;53,0;129,4;100;11,0;217,6;74;9,8;10,5;2;2,8;0;yes
OH;63;area_code_415;yes;yes;36;199,0;110;33,8;291,3;111;24,8;197,6;92;8,9;11,0;6;3,0;1;no
OK;100;area_code_415;no;no;0;203,1;96;34,5;217,0;126;18,5;180,9;122;8,1;13,5;2;3,7;3;no
NV;53;area_code_415;no;no;0;168,8;97;28,7;220,3;87;18,7;154,3;113;6,9;10,9;2;2,9;0;no
ID;92;area_code_415;yes;no;0;173,1;140;29,4;240,3;105;20,4;233,2;117;10,5;9,0;5;2,4;1;no
MN;139;area_code_510;no;no;0;134,4;106;22,9;211,3;98;18,0;193,6;125;8,7;10,2;2;2,8;5;yes
SD;110;area_code_408;no;yes;40;202,6;103;34,4;118,8;128;10,1;234,9;98;10,6;9,0;9;2,4;2;no
IL;110;area_code_408;no;no;0;74,5;117;12,7;200,8;98;17,1;192,2;101;8,7;9,8;7;2,7;3;no
WY;215;area_code_510;no;no;0;83,6;148;14,2;120,9;91;10,3;226,6;110;10,2;10,7;9;2,9;0;no
NJ;138;area_code_510;no;no;0;220,2;89;37,4;88,3;125;7,5;195,3;79;8,8;12,9;5;3,5;0;no
NV;137;area_code_415;yes;no;0;135,1;95;23,0;134,1;102;11,4;223,1;81;10,0;12,3;2;3,3;2;yes
WV;85;area_code_408;no;no;0;225,0;81;38,3;176,9;63;15,0;194,3;110;8,7;7,1;2;1,9;3;no
SC;22;area_code_408;no;no;0;110,3;107;18,8;166,5;93;14,2;202,3;96;9,1;9,5;5;2,6;0;no
RI;107;area_code_415;no;yes;37;60,0;102;10,2;102,2;80;8,7;261,8;106;11,8;11,1;3;3,0;0;no
IN;51;area_code_510;no;no;0;214,8;94;36,5;149,7;58;12,7;283,4;66;12,8;10,2;5;2,8;0;no
AZ;94;area_code_408;no;no;0;181,8;85;30,9;202,4;98;17,2;245,9;97;11,1;9,2;2;2,5;4;no
OR;33;area_code_415;no;yes;29;157,4;99;26,8;117,9;80;10,0;279,2;79;12,6;13,9;11;3,8;4;yes
NJ;106;area_code_415;no;no;0;207,9;91;35,3;172,0;109;14,6;191,8;143;8,6;14,4;7;3,9;4;no
MI;86;area_code_510;no;yes;41;119,0;101;20,2;230,0;134;19,6;236,9;58;10,7;9,5;3;2,6;0;no
TX;97;area_code_415;yes;no;0;143,7;117;24,4;273,0;82;23,2;178,3;81;8,0;10,9;3;2,9;0;no
FL;106;area_code_408;no;yes;32;165,9;126;28,2;216,5;93;18,4;173,1;86;7,8;14,1;8;3,8;4;no
DC;108;area_code_510;no;no;0;138,6;122;23,6;172,3;117;14,7;231,6;92;10,4;9,8;3;2,7;1;no
TX;114;area_code_415;no;no;0;84,7;118;14,4;249,9;86;21,2;193,4;95;8,7;14,5;8;3,9;1;no
KS;92;area_code_408;yes;no;0;62,6;111;10,6;180,6;126;15,4;221,7;80;10,0;10,4;2;2,8;1;yes
UT;59;area_code_510;no;no;0;155,2;79;26,4;235,3;123;20,0;169,4;80;7,6;8,7;4;2,4;1;no
MN;24;area_code_510;no;yes;25;164,9;110;28,0;209,3;105;17,8;231,2;55;10,4;6,7;9;1,8;1;no
IL;151;area_code_408;no;no;0;134,5;88;22,9;143,1;112;12,2;223,9;61;10,1;15,4;1;4,2;1;no
NM;117;area_code_415;no;no;0;143,3;103;24,4;211,3;108;18,0;185,2;96;8,3;11,5;3;3,1;1;no
SC;78;area_code_510;no;no;0;168,3;110;28,6;221,2;73;18,8;241,0;136;10,9;12,5;1;3,4;1;no
NC;155;area_code_408;no;no;0;262,4;55;44,6;194,6;113;16,5;146,5;85;6,6;8,3;6;2,2;2;no
WV;114;area_code_510;no;yes;30;206,2;79;35,1;260,0;91;22,1;291,6;83;13,1;11,4;6;3,1;1;no
RI;114;area_code_510;no;yes;28;225,8;94;38,4;193,0;117;16,4;232,4;100;10,5;8,4;9;2,3;4;no
NH;119;area_code_408;no;no;0;138,3;89;23,5;170,5;78;14,5;263,9;98;11,9;13,5;6;3,7;3;no
